Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
"Сборщик заказов (Владимир, Мира, 34Г)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/126148726,Владимир,05.10.2025,Данные отсутствуют,Город Владимир,Другое
Главный специалист,Abi,Данные отсутствуют,https://hh.ru/vacancy/125825110,Владимир,26.09.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по работе с корпоративными клиентами,Капитал Лайф Страхование Жизни,Данные отсутствуют,https://hh.ru/vacancy/120218919,Владимир,01.10.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Ведущий бухгалтер,"Филиал ФГБУ Россельхозцентр по Владимирской, Ивановской и Ярославской Областям",45000-50000 руб.,https://hh.ru/vacancy/125227561,Владимир,11.09.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Слесарь-сборщик (шихтовик),РОЭЛ Групп,35000-45000 руб.,https://hh.ru/vacancy/125428486,Владимир,17.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Менеджер активных продаж (светодиодные светильники),ТД ЭКОСВЕТ,60000-400000 руб.,https://hh.ru/vacancy/125463973,Владимир,18.09.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Монтажник санитарно-технических систем и оборудования,Владимирский завод Электроприбор,50600-59400 руб.,https://hh.ru/vacancy/118195627,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Специалист по безопасности,АШАН Ритейл Россия,41400-59400 руб.,https://hh.ru/vacancy/125314791,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,Другое
Инженер-электронщик (схемотехник),Гидро-система,100000-200000 руб.,https://hh.ru/vacancy/111770543,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
"Ведущий инженер-проектировщик АС, КР, КМ, КЖ",Abi,Данные отсутствуют,https://hh.ru/vacancy/122757515,Владимир,12.09.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
